id,host_id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,availability_365
1419452944273712257,672278487,Tetuán,Bellas Vistas,40.45294888795678,-3.7046413571166528,Entire rental unit,Entire home/apt,2,1.0,,2.0,96.33,3.0,11,4.18,298
670734660775409704,469405161,Chamartín,Castilla,40.47101,-3.68658,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,197.0,1.0,142,4.54,313
1466680276638238811,438136382,Chamartín,Hispanoamérica,40.4582642,-3.6866828,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,113.37,30.0,0,,331
1222465707585389915,40877988,Salamanca,Guindalera,40.43626,-3.67322,Entire rental unit,Entire home/apt,6,,3.0,5.0,495.0,1.0,80,4.69,306
26342173,69224732,Centro,Universidad,40.423277466397195,-3.701694379569529,Entire serviced apartment,Entire home/apt,4,2.0,2.0,2.0,197.0,1.0,145,4.87,140
1496314478373399467,270258576,Centro,Palacio,40.42159,-3.70899,Private room in hostel,Private room,4,,1.0,3.0,153.0,1.0,0,,172
1006475172923567717,444912851,Tetuán,Castillejos,40.46361,-3.6948,Entire rental unit,Entire home/apt,2,1.0,,,87.0,1.0,91,4.64,312
44239853,356498599,Centro,Palacio,40.41025,-3.70971,Entire loft,Entire home/apt,2,1.0,1.0,1.0,96.55,11.0,18,4.94,257
51459687,230030303,Centro,Palacio,40.41604,-3.71091,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,293.0,1.0,29,4.62,349
756965513396225989,32046323,Salamanca,Lista,40.4352094984296,-3.676401146901379,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,120.24,30.0,0,,85
7582198,39758265,San Blas - Canillejas,Simancas,40.43869,-3.624,Entire loft,Entire home/apt,4,1.0,1.0,1.0,122.0,3.0,238,4.59,137
1097974458474874504,156420685,Usera,Moscardó,40.3869195,-3.7022545,Private room in rental unit,Private room,1,0.5,1.0,1.0,38.0,1.0,15,4.93,67
983055174171334204,2509252,Salamanca,Castellana,40.4371847,-3.6820334,Entire rental unit,Entire home/apt,5,2.0,4.0,4.0,147.86,3.0,15,4.4,229
827922901949210221,492280007,Hortaleza,Apostol Santiago,40.47330716132419,-3.6623605343933097,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,72.39,5.0,9,4.78,159
25887117,72876550,Centro,Embajadores,40.40818,-3.69806,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,90.0,3.0,264,4.59,302
1140573842545179001,107335103,Centro,Justicia,40.42176447705137,-3.7007039446491103,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,156.0,1.0,40,4.33,356
936633754547740800,133056146,Tetuán,Cuatro Caminos,40.4554702,-3.6962144,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,142.0,1.0,90,4.82,341
839586202437593348,18938892,Tetuán,Valdeacederas,40.467943937240825,-3.7083283066749577,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,133.14,2.0,18,4.94,98
1678178701865982737,377605855,Ciudad Lineal,Costillares,40.481605336751755,-3.663286027721912,Entire rental unit,Entire home/apt,3,1.0,,2.0,123.25,1.0,3,3.67,355
738263345296167274,518700156,Usera,Pradolongo,40.38222,-3.70757,Private room in rental unit,Private room,2,1.5,,1.0,32.0,1.0,269,4.67,160
915199210905533123,498026704,Centro,Sol,40.4173467,-3.7064284,Private room in rental unit,Private room,1,5.0,,1.0,66.0,3.0,0,,58
13315485,75269343,Centro,Embajadores,40.41017,-3.70188,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,117.92,3.0,421,4.89,224
1016462436563162464,346367515,Chamberí,Almagro,40.43386752647024,-3.695636310677828,Entire rental unit,Entire home/apt,6,,3.0,4.0,243.28,31.0,1,5.0,235
38888093,40877988,Centro,Sol,40.41646,-3.70467,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,225.63,1.0,390,4.77,296
1704966412253379860,438136382,Salamanca,Fuente del Berro,40.426629206093686,-3.6649055759869102,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,118.15,30.0,0,,137
1703668191224946410,482474523,Moncloa - Aravaca,Valdezarza,40.4683068,-3.7223605,Private room in rental unit,Private room,1,1.0,1.0,1.0,33.67,7.0,0,,51
1047873096150760872,551237332,Centro,Justicia,40.42597,-3.69712,Room in hotel,Private room,3,1.0,1.0,1.0,91.0,1.0,73,4.6,22
1117488271190520223,3669051,Centro,Universidad,40.42016,-3.70187,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,157.5,2.0,71,4.69,118
922252353963654093,232520062,Chamberí,Gaztambide,40.4306085,-3.713743199999999,Entire rental unit,Entire home/apt,1,1.0,1.0,1.0,54.9,32.0,4,4.5,340
1597044445053933090,504113213,Barajas,Casco Histórico de Barajas,40.473304749,-3.579417467,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,172.5,2.0,1,5.0,337
1221686978822030272,464202589,Salamanca,Guindalera,40.43427880993647,-3.668733643551204,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,128.0,1.0,176,4.85,107
1437027922372832421,28798886,Centro,Embajadores,40.4091138,-3.7047479,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,120.33,3.0,27,4.89,115
1391724787666659814,538057542,Retiro,Pacífico,40.40362857177162,-3.6768659668923234,Entire rental unit,Entire home/apt,5,2.0,3.0,3.0,400.0,1.0,12,4.67,355
17571280,119315330,Centro,Palacio,40.4159,-3.71096,Private room in rental unit,Private room,2,1.0,1.0,1.0,97.0,2.0,58,4.81,53
1451456948337901580,703465489,Carabanchel,Buenavista,40.36986,-3.747,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,108.61,2.0,27,4.56,334
1046915821683296675,7931832,Centro,Embajadores,40.4105723,-3.6975687,Private room in rental unit,Private room,1,1.0,,1.0,78.0,1.0,145,4.93,130
